"FORNECEDOR";"Valor";"C CUSTO";"Tipo de Despesa";"Gerente Responsavel"
"M B C EXPRESS SERVICOS DE COURIER LTDA";3444,50;"170030  ";"COURRIER";"EDU"
"VALID SOLUCOES E SERVICOS DE SEGURANCA E";1455,00;"170030  ";"PLASTICOS/CARTOES FÁBRICA";"EDU"
"INTELCAV CARTOES LTDA";1112,00;"170030  ";"PLASTICOS/CARTOES FÁBRICA";"EDU"
"GEMALTO DO BRASIL CARTOES E TERMINAIS LT";794351,70;"170030  ";"PLASTICOS/CARTOES FÁBRICA";"EDU"
"DATAFRED GROUP DO BRASIL - PERSONALIZACA";2678,14;"170030  ";"MANUTENÇÃO/INSUMOS IMPRESSORA FÁBRICA";"EDU"
"INTELIPOST CONSULTORIA E TECNOLOGIA DE L";12015,43;"170030  ";"SISTEMA LOGISTICO";"EDU"
"GRAFICA EDITORA AQUARELA S/A";261,87;"170030  ";"MATERIAL IMPRESSO FÁBRICA";"EDU"
"EMPRESA BRASILEIRA DE CORREIOS E TELEGRA";402,00;"170030  ";"CORREIOS/CORRESPONDENCIAS";"EDU"
"LOYOLLA COMERCIO DE SERVICOS GRAFICOS LT";528431,55;"170030  ";"PLASTICOS/CARTOES FÁBRICA";"EDU"
"NOBRE TRANSPORTES E SERV INFORMACAO LTDA";1542,73;"170030  ";"COURRIER";"EDU"
"JALL FREDS - CARTOES E SERVICOS LTDA";9123,15;"170030  ";"PLASTICOS/CARTOES FÁBRICA";"EDU"
"LENE GRAFICA & EDITORA";1100,00;"170030  ";"MATERIAL IMPRESSO FÁBRICA";"EDU"
"R&YSISTEMAS MANUTENCOES ELETRO ELETRONIC";3500,00;"170030  ";"LOCAÇÃO IMPRESSORA FÁBRICA";"EDU"
"RICOH BRASIL S.A.";400,00;"170030  ";"IMPRESSORA FÁBRICA";"EDU"
"INDUSTRIA GRAFICA BRASILEIRA LTDA";200989,32;"170030  ";"LOCAÇÃO PALET FÁBRICA";"EDU"
"PROMOPRESS GRAFICA E EDITORA LTDA";1873,43;"170030  ";"MATERIAL IMPRESSO FÁBRICA";"EDU"
"RCR REPRESENTACOES E SERVICOS LTDA";10562,18;"170030  ";"DESCARTE MATERIAL FABRICA - CEF";"EDU"
"PEDRO L. G. MELGES COMERCIO E SERVICOS -";500000,00;"170030  ";"Locação maquina fabrica";"EDU"
"ACF ROOSEVELT LTDA - ME";262,26;"170030  ";"CORREIOS ";"EDU"
"GVP INFORMATICA LTDA EPP";175,16;"170030  ";"CRM ATENDIMENTO";"EDU"
"EMAGNET MARETING & CONSULT LTDA";600,00;"170030  ";"ATENDIMENTO - CHAT";"EDU"
"SMARIO TECNOLOGIA LTDA";300,00;"170030  ";"ATENDIMENTO  - CHATBOT";"EDU"
"WEB BUSINESS TECHNOLOGY LTDA";100,00;"170030  ";"CRM ATENDIMENTO";"EDU"
"PAYTRUE SOLUTION INFORMATICA LTDA";50,00;"170030  ";" BENEFICIOS E RISK CENTER";"Cristiano"
"VERZANI E SANDRINI SEGURANCA PATRIMONIAL";700,00;"170030  ";"SEGURANÇA PREDIAL";"Cristiano"
"BOA VISTA SERVICOS S.A.";100750,00;"170030  ";"BUREAU DE INFORMAÇÕES ";"Cristiano"
"SOCIEDADE CENTRO EMPRESARIAL TAMBORE";46120,00;"160010";"SEGURANÇA REGIONAL ";"Cristiano"
"RAFTEC ELETRONICOS LTDA - EPP";448780,00;"160010";"CONTROLE DE ACESSO";"Cristiano"
"MOBWAY DESENVOLVIMENTO DE APLICATIVOS LT";379570,25;"160010";"SISTEMA SHERLOCK ";"Cristiano"
"VERZANI & SANDRINI ELETRONICA LTDA";2064,40;"160010";"SEGURANÇA PREDIAL";"Cristiano"
"IDWALL TECNOLOGIA LTDA ME";17870,00;"160010";"BUREAU DE INFORMAÇÕES ";"Cristiano"
"SERASA S.A.";217480,00;"160010";"BUREAU DE INFORMAÇÕES ";"Cristiano"
"INFOPLUS INFORMACOES CADASTRAIS E ANALIS";320681,17;"160010";"MOBWAY";"Cristiano"
"DIMAS MELO PIMENTA SIST PTO";1074,11;"160010";"MOBWAY";"Cristiano"
" RIS S.A";2500,00;"160010";"Consultoria";"Cristiano"
"AMIL ASSISTENCIA MEDICA INTERNACIONAL S.";950,00;"140010";"ASSISTENCIA MÉDICA ";"Lilian"
"SPLENDIDO ALIMENTACAO E SERVICOS LTDA";2300,00;"140010";"RESTAURANTE";"Lilian"
"INTEGRO MARETING BRASIL LTDA";1971,95;"140010  ";"PORTAL BENEFICIOS";"Lilian"
"AUTOPASS S.A.";29095,00;"140010  ";"VALE TRANSPORTE";"Lilian"
"POLIFRED SYSTEMS E SERVICOS S/A";12300,00;"140010  ";"CARTÃO BENEFICIO ";"Lilian"
"LINEDIN IRELAND";820699,88;"140010  ";"RECRUTAMENTO E SELEÇÃO";"Lilian"
"BB TRANSPORTE E TURISMO LTDA";8786,35;"140010  ";"VALE TRANSPORTE";"Lilian"
"PREVENT SENIOR PRIVATE OPERADORA DE SAUD";23457,54;"140010  ";"PLANO SAUDE";"Lilian"
"CLIMET CONSULORIA EM SEGURANCA DO TRABAL";6630,00;"140010  ";"MEDINA OCUPACIONAL";"Lilian"
"UMANN INOVACAO EM TECNOLOGIA DE SISTEMAS";132,60;"140010  ";"SISTEMA DE GESTÃO";"Lilian"
"OPTUM HELAT & TECHNOLOGY SERV BRASIL LTD";109,40;"140010  ";"BENEFICIOS/SERVIÇOS";"Lilian"
"CAIXA SEGURADORA S/A";503,88;"140010  ";"SEGUROS";"Lilian"
"VACICLIN CLINICA MEDICA E VACINAS LTDA";102000,00;"140010";"VACINAS";"Lilian"
"CDM QUALIDADE DE VIDA E FISIOTERAPIA LTD";99,45;"140010";"GINASTICA LABORAL";"Lilian"
"EQUIPE SOLUCOES EM PESSOAS LTDA. - ME";244,83;"140010";"RECRUTAMENTO E SELEÇÃO";"Lilian"
"BAG ASSESSORIA EIRELI";10107,10;"120000";"AULAS DE INGLES DIRETORIA";"Andre"
"SAO PAULO TRANSPORTES SA";5858,00;"140010";"VALE TRANSPORTE";"Lilian"
"NUBE NUCLEO BRASILEIRO DE ESTAGIOS LTDA";11261,80;"140010";"RECRUTAMENTO ESTAGIARIOS";"Lilian"
"COMODO GROUP, INC";12780,00;"150030";"DOMINIO";"Marcelo"
"VIACAO OSASCO LTDA";261515,34;"140010";"VALE TRANSPORTE";"Lilian"
"INSTITUTO NACIONAL DE CAPACITACAO E EDUC";182218,86;"140010";"MENOR APRENDIZ";"Lilian"
"IMUNOVIDA CLINICA DE VACINAS LTDA";45554,72;"140010";"VACINAS";"Lilian"
"AUTO VIACAO URUBUPUNGA LTDA";94160,00;"140010";"VALE TRANSPORTE";"Lilian"
"4J TECNOLOGIA LTDA";633939,43;"140010";;
"SABOR SUL INDUSTRIAL E COMERCIO LTDA- ME";284923,93;"140010";"RESTAURANTE - FRUTAS";"Lilian"
"DIMAS DE MELO PIMENTA SISTEMAS DE PONTO";71230,98;"140010";"RELOGIO DE PONTO";"Lilian"
"VILLE SOCCER LTDA - ME";271817,17;"140010";"LOCAÇÃO DE QUADRAS";"Lilian"
