DataNotaFiscal;Fabricante;Estado;ValorVenda;ValorCusto;TotalDesconto;CustoEntrega;CustoMaoDeObra;NomeCliente;Modelo;Cor;Ano
02/01/2013;Rolls Royce;Minas Gerais;130000;62000;0;1750;570;Les Arnaqueurs;Prata Ghost;Prata;2013
02/02/2013;Rolls Royce;São Paulo;178500;62000;0;1750;654;Wheels'R'Us;Wraith;Prata;2013
02/03/2013;Rolls Royce;São Paulo;110000;75890;0;990;987;Cut'n'Shut;Prata Ghost;Verde;2013
02/04/2013;Rolls Royce;São Paulo;130000;62000;0;500;654;Bright Orange;Camargue;Azul;2013
02/05/2013;Rolls Royce;São Paulo;178500;75890;950;1750;321;Honest John;Prata Shadow;Vermelho;2013
02/06/2013;Rolls Royce;São Paulo;110000;62000;0;1750;951;Aldo Motors;Prata Seraph;Vermelho;2013
02/07/2013;Rolls Royce;São Paulo;102500;62000;1750;500;987;Aldo Motors;Prata Ghost;Preto;2013
02/08/2013;Rolls Royce;São Paulo;130000;62000;0;1000;750;Honest John;Prata Shadow;Verde;2013
02/09/2013;Rolls Royce;São Paulo;178500;75890;0;450;654;Bright Orange;Camargue;Púrpura;2013
02/10/2013;Rolls Royce;São Paulo;178500;75890;0;1750;987;Wheels'R'Us;Prata Seraph;Vermelho;2013
02/11/2013;Rolls Royce;São Paulo;130000;75890;750;1750;321;Cut'n'Shut;Prata Ghost;Vermelho;2013
02/12/2013;Rolls Royce;São Paulo;178500;62000;0;1750;654;Wheels'R'Us;Phantom;Verde;2013
02/01/2013;Aston Martin;São Paulo;178500;75890;0;500;987;Wheels'R'Us;DB9;Púrpura;2013
02/02/2013;Aston Martin;São Paulo;110000;75890;0;500;963;Cut'n'Shut;DB4;Verde;2013
02/03/2013;Aston Martin;São Paulo;178500;75890;0;500;852;Cut'n'Shut;DB9;Preto;2013
02/04/2013;Aston Martin;São Paulo;110000;75890;0;0;147;Bright Orange;DB4;Azul;2013
02/05/2013;Aston Martin;São Paulo;102500;75890;0,01;500;852;Bright Orange;DB4;Prata;2013
02/06/2013;Aston Martin;São Paulo;178500;62000;750;450;654;Honest John;Vanquish;Prata;2013
02/07/2013;Aston Martin;São Paulo;124500;62000;1000;450;984;Aldo Motors;Vanquish;Verde;2013
02/08/2013;Aston Martin;São Paulo;130000;62000;1250;450;895;Aldo Motors;DB9;Azul;2013
