DataNotaFiscal;Fabricante;Estado;ValorVenda;ValorCusto;TotalDesconto;CustoEntrega;CustoMaoDeObra;NomeCliente;Modelo;Cor;Ano
04/10/2014;Rolls Royce;São Paulo;97750;55000;550;725;750;Aldo Motors;Camargue;Prata;2014
01/01/2014;Aston Martin;São Paulo;122750;80000;50;1475;550;Honest John;DBS;Azul;2014
02/02/2014;Rolls Royce;São Paulo;90750;80000;800;975;550;Bright Orange;Prata Ghost;Verde;2014
03/03/2014;Rolls Royce;São Paulo;91750;93000;50;975;550;Honest John;Prata Ghost;Azul;2014
04/04/2014;Rolls Royce;São Paulo;94750;67000;50;1475;550;Wheels'R'Us;Camargue;Prata;2014
04/05/2014;Rolls Royce;São Paulo;105250;130000;50;975;550;Cut'n'Shut;Camargue;Verde;2014
04/06/2014;Aston Martin;São Paulo;112750;61000;800;475;550;Bright Orange;DBS;Púrpura;2014
04/07/2014;Aston Martin;Minas Gerais;127750;28500;2550;975;550;Les Arnaqueurs;DB7;Vermelho;2014
04/08/2014;Aston Martin;São Paulo;132750;20500;50;975;750;Aldo Motors;DB9;Azul;2014
04/09/2014;Aston Martin;São Paulo;77750;80890;50;975;750;Aldo Motors;DB9;Prata;2014
04/11/2014;Aston Martin;Minas Gerais;71250;104000;50;1475;750;Les Arnaqueurs;DB4;Azul;2014
04/11/2014;Aston Martin;São Paulo;97750;130000;50;1475;750;Wheels'R'Us;Vantage;Prata;2014
04/12/2014;Aston Martin;São Paulo;157750;130000;5050;1475;750;Bright Orange;Vanquish;Prata;2014
04/12/2014;Aston Martin;São Paulo;97750;160000;50;1475;570;Cut'n'Shut;Rapide;Preto;2014
02/01/2015;Aston Martin;Minas Gerais;181250;130000;50;1725;570;Les Arnaqueurs;Zagato;Verde;2015
02/02/2015;Rolls Royce;São Paulo;132750;67000;50;1725;570;Wheels'R'Us;Prata Ghost;Prata;2015
02/03/2015;Rolls Royce;São Paulo;181250;67000;50;965;654;Cut'n'Shut;Wraith;Prata;2015
02/04/2015;Rolls Royce;São Paulo;112750;80890;50;475;987;Bright Orange;Prata Ghost;Verde;2015
02/05/2015;Rolls Royce;São Paulo;132750;67000;1000;1725;654;Honest John;Camargue;Preto;2015
02/06/2015;Rolls Royce;São Paulo;181250;80890;50;1725;321;Aldo Motors;Prata Shadow;Vermelho;2015
02/07/2015;Rolls Royce;São Paulo;112750;67000;1800;475;951;Aldo Motors;Prata Seraph;Vermelho;2015
02/08/2015;Rolls Royce;São Paulo;105250;67000;50;975;987;Honest John;Prata Ghost;Preto;2015
02/09/2015;Rolls Royce;São Paulo;132750;67000;50;425;750;Bright Orange;Prata Shadow;Verde;2015
02/10/2015;Rolls Royce;São Paulo;181250;80890;50;1725;654;Wheels'R'Us;Camargue;Púrpura;2015
02/11/2015;Rolls Royce;São Paulo;181250;80890;800;1725;987;Cut'n'Shut;Prata Seraph;Preto;2015
02/12/2015;Rolls Royce;São Paulo;132750;80890;50;1725;321;Wheels'R'Us;Prata Ghost;Vermelho;2015
02/01/2015;Rolls Royce;São Paulo;181250;67000;50;475;654;Wheels'R'Us;Phantom;Verde;2015
02/02/2015;Aston Martin;São Paulo;181250;80890;50;475;987;Cut'n'Shut;DB9;Púrpura;2015
02/03/2015;Aston Martin;São Paulo;112750;80890;50;475;963;Cut'n'Shut;DB4;Preto;2015
02/04/2015;Aston Martin;São Paulo;181250;80890;50;50;852;Bright Orange;DB9;Preto;2015
02/05/2015;Aston Martin;São Paulo;112750;80890;50,01;475;147;Bright Orange;DB4;Azul;2015
02/06/2015;Aston Martin;São Paulo;105250;80890;800;425;852;Honest John;DB4;Prata;2015
02/07/2015;Aston Martin;São Paulo;181250;67000;1050;425;654;Aldo Motors;Vanquish;Prata;2015
02/08/2015;Aston Martin;São Paulo;127250;67000;1300;425;984;Aldo Motors;Vanquish;Verde;2015
02/09/2015;Aston Martin;São Paulo;132750;67000;50;75;895;Honest John;DB9;Prata;2015
02/10/2015;Aston Martin;São Paulo;112750;67000;50;425;486;Bright Orange;DB9;Azul;2015
02/11/2015;Aston Martin;São Paulo;181250;67000;50;1725;325;Wheels'R'Us;Vanquish;Vermelho;2015
02/12/2015;Aston Martin;São Paulo;132750;130000;50;1725;658;Cut'n'Shut;Rapide;Vermelho;2015
01/01/2014;Aston Martin;Rio de Janeiro;112750;130000;550;425;752;Rocky Riding;Vanquish;Vermelho;2014
01/02/2014;Jaguar;Rio de Janeiro;46750;30000;550;425;486;Rocky Riding;XK;Púrpura;2014
01/03/2014;Jaguar;Espírito Santo;47750;42500;550;75;486;Voitures Diplomatiques S.A.;XJ6;Verde;2014
01/04/2014;Jaguar;Minas Gerais;42250;30000;550;475;486;Les Arnaqueurs;XJ12;Preto;2014
01/05/2014;Jaguar;São Paulo;46750;42500;550;475;486;Bright Orange;XK;Prata;2014
01/06/2014;Jaguar;São Paulo;46750;30000;550;475;486;Honest John;XJ12;Prata;2014
01/07/2014;Jaguar;São Paulo;42250;42500;550;1725;486;Wheels'R'Us;XK;Prata;2014
01/08/2014;Jaguar;São Paulo;46750;30000;800;475;486;Cut'n'Shut;XK;Verde;2014
01/09/2014;Jaguar;Rio de Janeiro;112750;55000;800;1725;486;Rocky Riding;XJ12;Azul;2014
